Sample_ID,plate.id,index
R24D_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B2
R24D_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B3
R24D_Hu_6B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B6
R24D_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C8
R24D_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C9
R24D_Hu_6B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C12
R24D_Hu_6B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C4
R24B_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D12
R24B_Hu_2B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D3
R24B_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D7
R24B_Hu_6B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D8
R24C_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A6
R24C_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A7
R24C_Hu_4A_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A8
R24C_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C1
R24C_Hu_4A_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C2
R24E_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F3
R24E_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D1
R24E_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D2
R24E_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D3
