Sample_ID,plate.id,index
R24D_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A11
R24D_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A12
R24D_Hu_2B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B1
R24D_Hu_5A_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B4
R24D_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B5
R24D_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C5
R24D_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C6
R24D_Hu_2B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C7
R24D_Hu_5A_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C10
R24D_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C11
R24D_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B11
R24D_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B12
R24D_Hu_2B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C1
R24D_Hu_5A_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C2
R24D_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C3
