Sample_ID,plate.id,index
R24I_Hu_2B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A10
R24I_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A11
R24I_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A12
R24I_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B1
R24I_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B2
R24I_Hu_6B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B3
R24I_Hu_1A_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-F9
R24I_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-F10
R24I_Hu_2B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-F11
R24I_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-F12
R24I_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G1
R24I_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G2
R24I_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G3
R24I_Hu_6B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G4
R24I_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C3
R24I_Hu_2B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C4
R24I_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C5
R24I_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C6
R24I_Hu_6B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C7
R24J_Hu_1A_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B4
R24J_Hu_1B_CD4_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B5
R24J_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B6
R24J_Hu_2B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B7
R24J_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B8
R24J_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B9
R24J_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B10
R24J_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B11
R24J_Hu_6B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B12
R24J_Hu_1A_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G8
R24J_Hu_1B_CD4_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G9
R24J_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G10
R24J_Hu_2B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G11
R24J_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G12
R24J_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H1
R24J_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H2
R24J_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H3
R24J_Hu_6B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H4
R24J_Hu_1A_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C10
R24J_Hu_1B_CD4_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C11
R24J_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C12
