Sample_ID,plate.id,index
JuPa06_Mo_WT_CD8_3H_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D8
JuPa06_Mo_KO_CD8_3H_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D9
JuPa06_Mo_HO_CD8_3H_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D10
JuPa06_Mo_WT_CD8_3H_CITE,"PN-1000242: Dual Index Kit NT, Set A",SI-NT-B5
JuPa06_Mo_KO_CD8_3H_CITE,"PN-1000242: Dual Index Kit NT, Set A",SI-NT-B6
JuPa06_Mo_HO_CD8_3H_CITE,"PN-1000242: Dual Index Kit NT, Set A",SI-NT-B7
R24I_Hu_1A_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A8
R24I_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A9
R24I_Hu_1A_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C2
