Sample_ID,plate.id,index
R24C_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A5
R24C_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A6
R24C_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A9
R24C_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A10
R24C_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B11
R24C_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B12
R24C_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C3
R24C_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C4
R24C_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B7
R24C_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B8
R24C_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B9
R24C_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B10
JuPa02_Mo_KO_CD8_3H_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A1
JuPa01_Mo_WT_CD8_3H_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H10
CoVi30_Hu_HIV_CD4_7D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H6
