Sample_ID,plate.id,index
R24U_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C11
R24U_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C12
R24U_Hu_2B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D1
R24U_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D2
R24U_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D3
R24U_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D4
R24U_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D5
R24U_Hu_6B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D6
R24U_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B4
R24U_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B5
R24U_Hu_2B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B6
R24U_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B7
R24U_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B8
R24U_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B9
R24U_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B10
R24U_Hu_6B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B11
R24U_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-E10
R24U_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-E11
R24U_Hu_2B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-E12
R24U_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F1
R24U_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F2
R24U_Hu_6B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F3
R24V_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D7
R24V_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D8
R24V_Hu_2B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D9
R24V_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D10
R24V_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D11
R24V_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D12
R24V_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-E1
R24V_Hu_6B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-E2
R24V_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-B12
R24V_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C1
R24V_Hu_2B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C2
R24V_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C3
R24V_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C4
R24V_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C5
R24V_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C6
R24V_Hu_6B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-C7
R24V_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F4
R24V_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F5
R24V_Hu_2B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F6
R24V_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F7
R24V_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F8
R24V_Hu_6B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F9
R24W_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G7
R24W_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G8
R24W_Hu_2B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G9
