Sample_ID,plate.id,index
R24W_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D1
R24W_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H4
R24W_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D2
R24W_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H5
R24W_Hu_2B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D3
R24W_Hu_2B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H6
R24W_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D4
R24W_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D5
R24W_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D6
R24W_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G12
R24W_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H7
R24W_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D7
R24W_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H1
R24W_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H8
R24W_Hu_6B_CD8_3D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D8
R24W_Hu_6B_CD8_3D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H2
R24W_Hu_6B_CD8_3D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H9
R24X_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D9
R24X_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B3
R24X_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D10
R24X_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H11
R24X_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H12
R24X_Hu_2B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D11
R24X_Hu_2B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A1
R24X_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D12
R24X_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A2
R24X_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E1
R24X_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A3
AnKu15_Hu_1A_CD4_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A11
AnKu15_Hu_1B_CD4_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A12
R24X_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B4
R24X_Hu_2B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B5
R24X_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E2
R24X_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A4
R24X_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B6
R24X_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E3
R24X_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A5
R24X_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B7
R24X_Hu_6B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E4
R24X_Hu_6B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A6
R24X_Hu_6B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B8
AnKu15_Hu_1_CD8_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B1
AnKu15_Hu_2_CD4_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B2
AnKu15_Hu_2_CD8_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B3
AnKu16_Hu_1_CD8_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B6
AnKu16_Hu_1A_CD4_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B4
AnKu16_Hu_1B_CD4_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B5
AnKu16_Hu_2_CD4_GEX,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B7
