Sample_ID,plate.id,index
JuPa04_Mo_WT_CD8_3H_CITE,"PN-1000242: Dual Index Kit NT, Set A",SI-NT-A10
JuPa04_Mo_KO_CD8_3H_CITE,"PN-1000242: Dual Index Kit NT, Set A",SI-NT-A11
R24E_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F4
R24E_Hu_2B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F5
R24E_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F6
R24E_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F7
R24E_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F8
R24E_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F9
R24E_Hu_6B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F10
R24E_Hu_7_DNT_8D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H11
R24E_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D2
R24E_Hu_2B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D3
R24E_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D4
R24E_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D5
R24E_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D6
R24E_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D7
R24E_Hu_6B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D8
R24E_Hu_7_DNT_8D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G5
R24E_Hu_2B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D4
R24E_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D5
R24E_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D6
R24E_Hu_6B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D7
R24E_Hu_7_DNT_8D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C8
R24F_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F11
R24F_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F12
R24F_Hu_2B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G1
R24F_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G2
R24F_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G3
R24F_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G4
R24F_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G5
R24F_Hu_6B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G6
R24F_Hu_7_DNT_9D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H12
R24F_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D9
R24F_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D10
R24F_Hu_2B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D11
R24F_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-D12
R24F_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E1
R24F_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E2
R24F_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E3
R24F_Hu_6B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E4
R24F_Hu_7_DNT_9D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G6
R24F_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D8
R24F_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D9
R24F_Hu_2B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D10
R24F_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D11
R24F_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D12
R24F_Hu_6B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-E1
R24F_Hu_7_DNT_9D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C9
