Sample_ID,plate.id,index
R24O_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E3
R24O_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E4
R24O_Hu_2B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E5
R24O_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E6
R24O_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E7
R24O_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E8
R24O_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E9
R24O_Hu_6B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E10
R24O_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D8
R24O_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D9
R24O_Hu_2B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D10
R24O_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D11
R24O_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D12
R24O_Hu_6B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-E1
R24P_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C11
R24P_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C12
R24P_Hu_2B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D1
R24P_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D2
R24P_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D3
R24P_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D4
R24P_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D5
R24P_Hu_6B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-D6
R24P_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E11
R24P_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-E12
