Sample_ID,plate.id,index
R24R_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G9
R24R_Hu_6B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-G10
R24R_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H7
R24R_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H8
R24R_Hu_6B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H9
R24R_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H2
R24R_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H3
R24R_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H4
R24R_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H5
R24R_Hu_6B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-H6
R24S_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A2
R24S_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A3
R24S_Hu_2B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A4
R24S_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A5
R24S_Hu_5_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A6
R24S_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A7
R24S_Hu_6B_CD8_4D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A8
R24S_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-A1
R24S_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-A2
R24S_Hu_2B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-A3
R24S_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-A4
R24S_Hu_5_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-A5
R24S_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-A6
R24S_Hu_6B_CD8_4D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-A7
R24S_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B8
R24S_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B9
R24S_Hu_2B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B10
R24S_Hu_5_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B11
R24S_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-B12
R24S_Hu_6B_CD8_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-C1
R24T_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-A9
