Sample_ID,plate.id,index
R24R_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H3
R24R_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H4
R24R_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H5
R24R_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-H6
BeMe09_Hu_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F4
BeMe09_Hu_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-F11
BeMe09_Hu_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F9
BeMe10_64_Hu_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F5
BeMe10_85_Hu_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F6
BeMe10_CMV_Hu_Gex,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F7
BeMe10_64_Hu_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-F12
BeMe10_85_Hu_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G1
BeMe10_CMV_Hu_CITE,"PN-1000250: Dual Index Kit TN, Set A",SI-TN-G2
BeMe10_64_Hu_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F10
BeMe10_85_Hu_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F11
BeMe10_CMV_Hu_TCR,"PN-1000215: Dual Index Kit TT, Set A",SI-TT-F12
